"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q7,Q3,Q4,Q6,Q1,Q8,Q5,Q2";"TO-92L_Inline";8;"2N2219";;;
2;"R13,R17,R12,R16,R11,R14,R15,R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";8;"1k";;;
3;"K7,K6,K2,K4,K1,K8,K5,K3";"Relay_SPDT_SANYOU_SRD_Series_Form_C";8;"SANYOU_SRD_Form_C";;;
4;"J17,J12,J11,J20,J9,J15,J23,J10,J18,J19,J13,J22,J16,J14,J8,J21";"TerminalBlock_bornier-2_P5.08mm";16;"Screw_Terminal_01x02";;;
5;"J1";"BarrelJack_CUI_PJ-102AH_Horizontal";1;"Barrel_Jack_Switch";;;
6;"H4,H2,H3,H1";"MountingHole_4.3mm_M4_DIN965_Pad";4;"MountingHole";;;
7;"D14,D5,D16,D8,D7,D15,D13,D6";"LED_D5.0mm_IRBlack";8;"LED";;;
8;"R2,R3,R4,R5,R9,R7,R6,R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";8;"330R";;;
9;"J2,J4,J3";"PinHeader_1x20_P2.54mm_Vertical";3;"Conn_01x20";;;
10;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"150R";;;
11;"SW1";"PinHeader_1x03_P2.54mm_Vertical";1;"SW_SPDT";;;
12;"D1,D4,D3,D12,D11,D10,D9,D2";"D_A-405_P10.16mm_Horizontal";8;"D";;;
13;"U1,U2";"Buck_converter";2;"Buck_Converter";;;
14;"J5";"TerminalBlock_bornier-4_P5.08mm";1;"OLED";;;
15;"J6";"TerminalBlock_bornier-3_P5.08mm";1;"Gas_Pressure_Sensor";;;
16;"J7";"TerminalBlock_bornier-4_P5.08mm";1;"Gas_Flowrate_Concentration_Sensor";;;
